index,protID,geneID,geneName,
335,P20936,ENSG00000145715,RASA1,
336,Q01995,ENSG00000149591,TAGLN,
337,P32927,ENSG00000100368,CSF2RB,
338,P08575,ENSG00000081237,PTPRC,
339,P57078,ENSG00000183421,RIPK4,
340,P08567,ENSG00000115956,PLEK,
341,P48551,ENSG00000159110,IFNAR2,
342,Q9UBS0,ENSG00000175634,RPS6KB2,
343,P07355,ENSG00000182718,ANXA2,
344,Q13705,ENSG00000114739,ACVR2B,
345,P14598,ENSG00000158517,NCF1,
346,Q8IV61,ENSG00000152689,RASGRP3,
347,Q5JVS0,ENSG00000130956,HABP4,
348,Q13887,ENSG00000102554,KLF5,
349,Q9NSE2,ENSG00000114737,CISH,
350,Q6ZVD8,ENSG00000040199,PHLPP2,
351,Q14847,ENSG00000002834,LASP1,
352,P34741,ENSG00000169439,SDC2,
353,Q9UBU3,ENSG00000157017,GHRL,
354,P41143,ENSG00000116329,OPRD1,
355,P21730,ENSG00000197405,C5AR1,
356,P04004,ENSG00000109072,VTN,
357,P02671,ENSG00000171560,FGA,
358,Q99418,ENSG00000105443,CYTH2,
359,P08913,ENSG00000150594,ADRA2A,
360,P49795,ENSG00000171700,RGS19,
361,P42261,ENSG00000155511,GRIA1,
362,P23677,ENSG00000137825,ITPKA,
363,P28329,ENSG00000070748,CHAT,
364,P19021,ENSG00000145730,PAM,
365,Q06481,ENSG00000084234,APLP2,
366,P62714,ENSG00000104695,PPP2CB,
367,Q15080,ENSG00000100365,NCF4,
368,Q9UJY1,ENSG00000152137,HSPB8,
369,Q16625,ENSG00000197822,OCLN,
370,P54792,,,
371,Q9UQ80,ENSG00000170515,PA2G4,
372,P14679,ENSG00000077498,TYR,
373,P48058,ENSG00000152578,GRIA4,
374,P35548,ENSG00000120149,MSX2,
375,P43629,ENSG00000167633,KIR3DL1,
376,Q03721,ENSG00000116396,KCNC4,
377,Q15438,ENSG00000108669,CYTH1,
378,Q9P2D0,ENSG00000005700,IBTK,
379,Q96PH1,ENSG00000255346,NOX5,
380,P56537,ENSG00000242372,EIF6,
381,Q05209,ENSG00000127947,PTPN12,
382,O96004,ENSG00000113196,HAND1,
383,P02786,ENSG00000072274,TFRC,
384,P06127,ENSG00000110448,CD5,
385,P20700,ENSG00000113368,LMNB1,
386,P13726,ENSG00000117525,F3,
387,P35612,ENSG00000075340,ADD2,
388,P28799,ENSG00000030582,GRN,
389,Q5T7P8,ENSG00000134207,SYT6,
390,P55042,ENSG00000166592,RRAD,
391,P46013,ENSG00000148773,MKI67,
392,Q92686,ENSG00000154146,NRGN,
393,P26010,ENSG00000139626,ITGB7,
394,P30679,ENSG00000060558,GNA15,
395,Q8N556,ENSG00000196526,AFAP1,
396,Q6IE81,ENSG00000077684,JADE1,
397,P09693,ENSG00000160654,CD3G,
398,O15399,ENSG00000105464,GRIN2D,
399,Q9NR12,ENSG00000196923,PDLIM7,
400,P08034,ENSG00000169562,GJB1,
401,P18505,ENSG00000163288,GABRB1,
402,P47870,ENSG00000145864,GABRB2,
403,P35408,ENSG00000171522,PTGER4,
404,Q15906,ENSG00000163159,VPS72,
405,Q9UEY8,ENSG00000148700,ADD3,
406,P18507,ENSG00000113327,GABRG2,
407,P07307,ENSG00000161944,ASGR2,
408,Q16820,ENSG00000141434,MEP1B,
409,P51811,ENSG00000047597,XK,
410,P09543,ENSG00000173786,CNP,
411,P20073,ENSG00000138279,ANXA7,
412,P61764,ENSG00000136854,STXBP1,
413,P41594,ENSG00000168959,GRM5,
414,Q96HC4,ENSG00000163110,PDLIM5,
415,Q9ULU4,ENSG00000101040,ZMYND8,
416,O00453,ENSG00000204482,LST1,
417,Q7Z7A4,ENSG00000168297,PXK,
418,P18462,ENSG00000206505,HLA-A,
419,P56539,ENSG00000182533,CAV3,
420,Q9BR39,ENSG00000149596,JPH2,
421,P32418,ENSG00000183023,SLC8A1,
422,P29475,ENSG00000089250,NOS1,
423,P63092,ENSG00000087460,GNAS,
424,Q14118,ENSG00000173402,DAG1,
425,O95425,ENSG00000197321,SVIL,
426,P08237,ENSG00000152556,PFKM,
427,O75923,ENSG00000135636,DYSF,
428,Q9NSA0,ENSG00000168065,SLC22A11,
429,O95295,ENSG00000143553,SNAPIN,
430,P60880,ENSG00000132639,SNAP25,
431,O00161,ENSG00000092531,SNAP23,
432,O00559,ENSG00000147654,EBAG9,
433,O60603,ENSG00000137462,TLR2,
